Datum;Auftrag #;Transaktionen;Symbol;Name;ISIN;Anzahl;Stückpreis;Kosten;Aufgelaufene Zinsen;Nettobetrag;Währung Nettobetrag;Nettobetrag in der Währung des Kontos;Saldo;Währung
31-12-2020 12:55:04;00000000;Depotgebühren;;;;1.0;50.00;3.85;0.00;-53.85;CHF;-53.85;4'014.83;CHF
28-12-2020 12:33:35;00000000;Option Premium;RMAGQV;RMAGQV VON C 07-21 -Z;CH0553374957;1.0;68.68;0.00;0.00;68.68;CHF;68.68;4'068.68;CHF
28-12-2020 11:18:11;00000000;Rückzahlung;RMAGQV;RMAGQV VON C 07-21 -Z;CH0553374957;-4000.0;100.00 %;0.00;0.00;-;CHF;-;0.00;CHF
28-12-2020 11:18:11;00000000;Rückzahlung;RMAGQV;RMAGQV VON C 07-21 -Z;CH0553374957;1.0;4'000.00;0.00;0.00;4'000.00;CHF;4'000.00;4'000.00;CHF
16-12-2020 17:32:53;00000000;Dividende;RDSA;ROYAL DUTCH SHELL CL A ORD;GB00B03MLX29;1.0;83.16;12.47;0.00;70.69;EUR;70.69;139.69;EUR
14-12-2020 22:16:48;00000000;Fx-Gutschrift Comp.;;;;1.0;9'923.87;0.00;0.00;9'923.87;CHF;9'923.87;0.00;CHF
14-12-2020 22:16:48;00000000;Fx-Belastung Comp.;;;;1.0;11'297.74;0.00;0.00;-11'297.74;USD;-11'297.74;6'959.79;USD
14-12-2020 09:01:03;78814390;Kauf;ARYN;ARYZTA N;CH0043238366;428.0;0.6635;0.20;0.00;-284.20;CHF;-284.20;-9'923.87;CHF
14-12-2020 09:01:03;78814390;Kauf;ARYN;ARYZTA N;CH0043238366;1573.0;0.6635;0.90;0.00;-1'044.55;CHF;-1'044.55;-9'639.67;CHF
14-12-2020 09:01:03;78814390;Kauf;ARYN;ARYZTA N;CH0043238366;9255.0;0.6635;4.75;0.00;-6'145.45;CHF;-6'145.45;-8'595.12;CHF
14-12-2020 09:01:02;78814390;Kauf;ARYN;ARYZTA N;CH0043238366;1502.0;0.6635;10.75;0.00;-1'007.35;CHF;-1'007.35;-2'449.67;CHF
14-12-2020 09:01:02;78814390;Kauf;ARYN;ARYZTA N;CH0043238366;2242.0;0.6635;23.45;0.00;-1'511.00;CHF;-1'511.00;-1'442.32;CHF
08-12-2020 16:36:49;00000000;Wertlose Ausbuchung;ITM PWR SUB;ITM POWER SUB.SHS;GB00BMF7GD44;-6.0;0;0.00;0.00;-;EUR;-;0.00;EUR
07-12-2020 17:37:19;00000000;Option Premium;MAGLTQ;MAGLTQ LEONGUE C 08/21;CH0522707550;1.0;326.50;0.00;0.00;326.50;USD;326.50;18'257.53;USD
07-12-2020 17:37:15;00000000;Coupon;MAGLTQ;MAGLTQ LEONGUE C 08/21;CH0522707550;1.0;28.50;0.00;0.00;28.50;USD;28.50;17'931.03;USD
07-12-2020 11:37:40;00000000;Rückzahlung;MAGLTQ;MAGLTQ LEONGUE C 08/21;CH0522707550;-10000.0;100.00 %;0.00;0.00;-;USD;-;0.00;USD
07-12-2020 11:37:40;00000000;Rückzahlung;MAGLTQ;MAGLTQ LEONGUE C 08/21;CH0522707550;1.0;10'000.00;0.00;0.00;10'000.00;USD;10'000.00;17'902.53;USD
05-12-2020 16:59:07;00000000;Interne Titelumbuchung;LONN;LONZA N;CH0013841017;22.0;0;0.00;0.00;-;CHF;-;0.00;CHF
05-12-2020 16:59:07;00000000;Interne Titelumbuchung;LONN;LONZA N;CH0013841017;-22.0;0;0.00;0.00;-;CHF;-;0.00;CHF
05-12-2020 15:29:48;00000000;Interne Titelumbuchung;NESN;NESTLE N;CH0038863350;75.0;0;0.00;0.00;-;CHF;-;0.00;CHF
05-12-2020 15:29:48;00000000;Interne Titelumbuchung;NESN;NESTLE N;CH0038863350;-75.0;0;0.00;0.00;-;CHF;-;0.00;CHF
05-12-2020 12:25:55;00000000;Interne Titelumbuchung;SLHN;SWISS LIFE HOLDING AG N;CH0014852781;30.0;0;0.00;0.00;-;CHF;-;0.00;CHF
05-12-2020 12:25:55;00000000;Interne Titelumbuchung;SLHN;SWISS LIFE HOLDING AG N;CH0014852781;-30.0;0;0.00;0.00;-;CHF;-;0.00;CHF
05-12-2020 11:01:45;00000000;Interne Titelumbuchung;SREN;SWISS RE N;CH0126881561;150.0;0;0.00;0.00;-;CHF;-;0.00;CHF
05-12-2020 11:01:45;00000000;Interne Titelumbuchung;SREN;SWISS RE N;CH0126881561;-150.0;0;0.00;0.00;-;CHF;-;0.00;CHF
01-12-2020 13:44:46;00000000;Dividende;INTC;INTEL ORD;US4581401001;1.0;66.00;19.80;0.00;46.20;USD;46.20;7'902.53;USD
26-11-2020 14:19:18;00000000;Option Premium;RMAGQV;RMAGQV VON C 07-21 -Z;CH0553374957;1.0;68.68;0.00;0.00;68.68;CHF;68.68;68.68;CHF
16-11-2020 15:31:28;77580582;Verkauf;ZNH;CHINA SOUTH AIRL ADR REP 50 CL;US1694091091;250.0;31.00;42.65;0.00;7'707.35;USD;7'707.35;7'856.33;USD
12-11-2020 22:16:31;00000000;Fx-Gutschrift Comp.;;;;1.0;186.80;0.00;0.00;186.80;CHF;186.80;0.00;CHF
12-11-2020 22:16:31;00000000;Fx-Belastung Comp.;;;;1.0;206.02;0.00;0.00;-206.02;USD;-206.02;148.98;USD
12-11-2020 16:51:27;77582256;Kauf;BCHN;BURCKHARDT N;CH0025536027;14.0;287.00;3.00;0.00;-4'021.00;CHF;-4'021.00;-186.80;CHF
12-11-2020 16:51:26;77582256;Kauf;BCHN;BURCKHARDT N;CH0025536027;6.0;287.00;11.30;0.00;-1'733.30;CHF;-1'733.30;3'834.20;CHF
12-11-2020 16:51:26;77582256;Kauf;BCHN;BURCKHARDT N;CH0025536027;4.0;287.00;23.20;0.00;-1'171.20;CHF;-1'171.20;5'567.50;CHF
30-10-2020 17:06:07;00000000;Ausgabe von Anrechten;ITM PWR SUB;ITM POWER SUB.SHS;GB00BMF7GD44;6.0;0;0.00;0.00;-;EUR;-;0.00;EUR
28-10-2020 09:16:21;76836312;Verkauf;OERL;OC OERLIKON N;CH0000816824;1000.0;6.39;37.15;0.00;6'352.85;CHF;6'352.85;6'738.70;CHF
20-10-2020 12:44:43;76655265;Kauf;RMAGQV;RMAGQV VON C 07-21 -Z;CH0553374957;4000.0;100.00 %;50.00;0.00;-4'050.00;CHF;-4'050.00;385.85;CHF
30-09-2020 12:29:31;00000000;Depotgebühren;;;;1.0;50.00;3.85;0.00;-53.85;CHF;-53.85;4'435.85;CHF
21-09-2020 16:25:56;00000000;Dividende;RDSA;ROYAL DUTCH SHELL CL A ORD;GB00B03MLX29;1.0;81.18;12.18;0.00;69.00;EUR;69.00;69.00;EUR
10-09-2020 16:26:49;00000000;Kapitalrückzahlung;HBMN;HBM N;CH0012627250;1.0;231.00;0.00;0.00;231.00;CHF;231.00;4'489.70;CHF
10-09-2020 07:02:10;00000000;Auszahlung;;;;1.0;15'000.00;2.00;0.00;-15'002.00;CHF;-15'002.00;4'258.70;CHF
08-09-2020 13:50:34;00000000;Coupon;MAGLTQ;MAGLTQ LEONGUE C 08/21;CH0522707550;1.0;28.50;0.00;0.00;28.50;USD;28.50;355.00;USD
08-09-2020 13:50:34;00000000;Option Premium;MAGLTQ;MAGLTQ LEONGUE C 08/21;CH0522707550;1.0;326.50;0.00;0.00;326.50;USD;326.50;326.50;USD
08-09-2020 09:26:28;75197545;Verkauf;SGKN;ST GALLER KB N;CH0011484067;25.0;420.00;64.75;0.00;10'435.25;CHF;10'435.25;19'260.70;CHF
10-08-2020 09:01:38;74238207;Verkauf;ROSE;ZUR ROSE GROUP N;CH0042615283;25.0;260.00;36.75;0.00;6'463.25;CHF;6'463.25;8'825.45;CHF
10-08-2020 09:01:03;74238199;Kauf;OERL;OC OERLIKON N;CH0000816824;46.0;8.145;0.25;0.00;-374.90;CHF;-374.90;2'362.20;CHF
10-08-2020 09:01:03;74238199;Kauf;OERL;OC OERLIKON N;CH0000816824;954.0;8.145;38.30;0.00;-7'808.65;CHF;-7'808.65;2'737.10;CHF
10-08-2020 09:01:02;74238205;Kauf;HBMN;HBM N;CH0012627250;19.0;287.00;4.25;0.00;-5'457.25;CHF;-5'457.25;10'545.75;CHF
10-08-2020 09:01:02;74238205;Kauf;HBMN;HBM N;CH0012627250;11.0;287.00;34.70;0.00;-3'191.70;CHF;-3'191.70;16'003.00;CHF
10-08-2020 03:20:14;74204076;Berichtigung Börsengeb.;9988;BABA-SW ORD;KYG017191142;1.0;-6.30;0.00;0.00;-53.51;HKD;-6.30;19'194.70;CHF
10-08-2020 03:20:02;74204076;Kauf;9988;BABA-SW ORD;KYG017191142;200.0;244.80;1'174.29;0.00;-50'134.29;HKD;-5'992.05;19'201.00;CHF
07-08-2020 22:17:35;00000000;Fx-Gutschrift Comp.;;;;1.0;15'626.82;0.00;0.00;15'626.82;USD;15'626.82;0.00;USD
07-08-2020 22:17:35;00000000;Fx-Belastung Comp.;;;;1.0;14'403.72;0.00;0.00;-14'403.72;CHF;-14'403.72;25'193.05;CHF
